video_id,title,current_view
m0ok-SG_lyY,너무 맛있어서 두부 또 사러갑니다! 역대급으로 맛있는 초간단 5분 두부조림 Diet Tofu Recipe👍,269283
7Qj2BIZ0Gcw,아이스크림 만드는 법,412148
T9sSeUhVPNM,머위나물 무칠 때 그냥 데치면 절대 안 됩니다!,596409
ZY5kYuomSiU,"수제비 반죽, ‘이것’ 안 넣으면 그냥 밀가루입니다",481661
-E1Hbvs3jYc,[⭐️30만⭐️] 오독오독 아작아작 오이장아찌! 오이를 끓여보세요! #shrots,315635
1-3NKXMzMZ0,아침 대신 토마토와 계란을 이렇게 드세요! 매일 먹어도 속 편하고 살 안찌는 초간단 아침 식사❗다이어트 식단,93245
n1ZnHi2FyVs,많은 병을 치유했다는 기적의 야채수 제대로 끓이는 법 알려드려요,159270
lnZScwBn66Y,두릅 아직도 초장 찍어 먹나요? 이렇게 해보세요! 정관스님 레시피 #차예련 #나물요리 #나물반찬 #두릅요리,70045
aOULmktSiC4,5분 뚝딱! 양파김치 담그는법,67897
NLoqGi7tUws,💥엄나무순 장아찌 실패없이 아삭하게 담그는법,26493
7TBR9Y_veco,이거 다이어트 중에 먹어도 됨! You can eat this on a diet! 설탕 없는 카스테라 Fluffy No Sugar Castella #Shorts,19790
gipMYR6xGoM,설탕 없이 만드는 폭신 촉촉 카스테라 | 저당! 가볍게! 부담없는 디저트 |  Fluffy No Sugar Castella Cake Recipe | Low Sugar Healthy,32969
xsoZ_BqL7Co,먹을만큼만 바로 무쳐서 산뜻하게 먹는 오이무침,27043
KI28CViMiH0,빠르게 무쳐서 맛있게 먹는 오이무침 맛있게 만드는 방법,62377
l1U6kpycvbM,"오이, 토마토 이렇게 드세요",178624
DLaH5TFAJMM,유튜브에서 유명한 조합으로 했더니 소름,159480
